artifact_type,filename,rows,columns,status
table,table_phase18_10_attack_specific_results.csv,14.0,5.0,AVAILABLE
table,table_phase18_11_poisoning_rate_sensitivity.csv,32.0,8.0,AVAILABLE
table,table_phase18_12_downstream_performance.csv,8.0,6.0,AVAILABLE
table,table_phase18_14_ablation_study.csv,12.0,6.0,AVAILABLE
table,table_phase18_15_statistical_comparison.csv,168.0,5.0,AVAILABLE
table,table_phase18_16_computational_overhead.csv,96.0,5.0,AVAILABLE
table,table_phase18_25_curve_availability.csv,2.0,5.0,AVAILABLE
table,table_phase18_26_roc_pr_figure_decision.csv,2.0,3.0,AVAILABLE
table,table_phase18_2_master_results_index.csv,8.0,3.0,AVAILABLE
table,table_phase18_3_dataset_overview.csv,2.0,7.0,AVAILABLE
table,table_phase18_4_data_quality_audit.csv,2.0,5.0,AVAILABLE
table,table_phase18_5_attack_distribution.csv,14.0,3.0,AVAILABLE
table,table_phase18_6_descriptive_statistics.csv,12.0,7.0,AVAILABLE
table,table_phase18_7_anomaly_detection_performance.csv,2.0,9.0,AVAILABLE
table,table_phase18_8_integrity_performance.csv,14.0,3.0,AVAILABLE
table,table_phase18_9_main_defense_comparison.csv,2.0,7.0,AVAILABLE
table,table_phase19_10_cross_rq_research_synthesis.csv,6.0,3.0,AVAILABLE
table,table_phase19_11_hypothesis_evaluation.csv,3.0,3.0,AVAILABLE
table,table_phase19_12_final_rq_synthesis.csv,6.0,5.0,AVAILABLE
table,table_phase19_17_figure_inventory.csv,14.0,3.0,AVAILABLE
table,table_phase19_17_paper_table_inventory.csv,30.0,5.0,AVAILABLE
table,table_phase19_17_primary_table_selection.csv,9.0,2.0,AVAILABLE
table,table_phase19_18_final_figure_readiness.csv,9.0,3.0,AVAILABLE
table,table_phase19_18_final_paper_table_readiness.csv,12.0,7.0,AVAILABLE
table,table_phase19_18_paper_table_dataset_coverage.csv,11.0,4.0,AVAILABLE
table,table_phase19_22_final_reproducibility_readiness.csv,10.0,2.0,AVAILABLE
table,table_phase19_2_rq1_integrity_interpretation.csv,6.0,7.0,AVAILABLE
table,table_phase19_3_rq2_anomaly_interpretation.csv,14.0,9.0,AVAILABLE
table,table_phase19_4_rq3_poisonshield_interpretation.csv,14.0,12.0,AVAILABLE
table,table_phase19_4_rq3_poisonshield_summary.csv,2.0,10.0,AVAILABLE
table,table_phase19_6_rq4_rate_comparison.csv,8.0,9.0,AVAILABLE
table,table_phase19_6_rq4_rate_summary.csv,2.0,11.0,AVAILABLE
table,table_phase19_7_rq5_downstream_comparison.csv,2.0,8.0,AVAILABLE
table,table_phase19_7_rq5_downstream_summary.csv,2.0,8.0,AVAILABLE
table,table_phase19_8_rq6_detection_retention_summary.csv,2.0,7.0,AVAILABLE
table,table_phase19_8_rq6_detection_retention_tradeoff.csv,12.0,6.0,AVAILABLE
table,table_phase19_9_rq6_final_interpretation.csv,12.0,6.0,AVAILABLE
table,table_phase19_9_rq6_final_summary.csv,2.0,11.0,AVAILABLE
table,table_phase8_observation_evidence_android.csv,11598.0,11.0,AVAILABLE
table,table_phase8_observation_evidence_malmem.csv,58596.0,11.0,AVAILABLE
table,table_phase9_attack_filtering.csv,56.0,7.0,AVAILABLE
table,table_phase9_condition_validation.csv,8.0,8.0,AVAILABLE
table,table_poisoned_summary.csv,2.0,6.0,AVAILABLE
table,table_poisonshield_attack_specific_android.csv,7.0,13.0,AVAILABLE
table,table_poisonshield_attack_specific_malmem.csv,7.0,13.0,AVAILABLE
table,table_poisonshield_fusion_grid_android.csv,44.0,15.0,AVAILABLE
table,table_poisonshield_fusion_grid_malmem.csv,44.0,15.0,AVAILABLE
table,table_poisonshield_overall_performance.csv,2.0,12.0,AVAILABLE
table,table_poisonshield_selected_parameters.csv,2.0,11.0,AVAILABLE
table,table_raw_file_inventory.csv,4.0,3.0,AVAILABLE
table,table_structural_audit.csv,2.0,9.0,AVAILABLE
