dataset,poisoning_rate,seed,metric,poisonshield_value,no_defense_value,absolute_difference,poisonshield_higher
Android,0.05,123,macro_recall,0.911446661797538,0.907790192541343,0.003656469256195005,True
Android,0.05,123,macro_f1,0.910737131373305,0.9076824388212362,0.003054692552068805,True
Android,0.05,123,balanced_accuracy,0.911446661797538,0.907790192541343,0.003656469256195005,True
Android,0.05,2026,accuracy,0.9248366013071896,0.9226579520697168,0.002178649237472796,True
Android,0.05,2026,macro_precision,0.9159960741406274,0.9149318999840352,0.0010641741565922125,True
Android,0.05,2026,macro_recall,0.908630572750918,0.9092179661879728,-0.0005873934370548284,False
Android,0.05,2026,macro_f1,0.91161806674967,0.9113857692815576,0.00023229746811248564,True
Android,0.05,2026,balanced_accuracy,0.908630572750918,0.9092179661879728,-0.0005873934370548284,False
Android,0.1,42,accuracy,0.9248366013071896,0.9248366013071896,0.0,False
Android,0.1,42,macro_precision,0.915468907210564,0.9180218608039876,-0.002552953593423668,False
Android,0.1,42,macro_recall,0.9120854749620376,0.9109920713784148,0.001093403583622865,True
Android,0.1,42,macro_f1,0.912717796714657,0.9138452923385054,-0.0011274956238483957,False
Android,0.1,42,balanced_accuracy,0.9120854749620376,0.9109920713784148,0.001093403583622865,True
Android,0.1,123,accuracy,0.9215686274509804,0.9281045751633988,-0.0065359477124183885,False
Android,0.1,123,macro_precision,0.9135313648615536,0.9198324634975608,-0.006301098636007141,False
Android,0.1,123,macro_recall,0.9078700318427212,0.9134387745851182,-0.005568742742397048,False
Android,0.1,123,macro_f1,0.9098135983948956,0.9158597257253736,-0.006046127330477935,False
Android,0.1,123,balanced_accuracy,0.9078700318427212,0.9134387745851182,-0.005568742742397048,False
Android,0.1,2026,accuracy,0.9237472766884532,0.920479302832244,0.0032679738562092497,True
Android,0.1,2026,macro_precision,0.9117635164451204,0.9113341508371152,0.0004293656080052166,True
Android,0.1,2026,macro_recall,0.9114747835561772,0.9040813655009377,0.00739341805523952,True
Android,0.1,2026,macro_f1,0.9109084057968192,0.9066857562313834,0.004222649565435832,True
Android,0.1,2026,balanced_accuracy,0.9114747835561772,0.9040813655009377,0.00739341805523952,True
Android,0.2,42,accuracy,0.9226579520697168,0.920479302832244,0.002178649237472796,True
Android,0.2,42,macro_precision,0.9137501772754024,0.9213909416719628,-0.007640764396560362,False
Android,0.2,42,macro_recall,0.9070424802600612,0.905052155134291,0.0019903251257701315,True
Android,0.2,42,macro_f1,0.9093600760014574,0.9120039195721198,-0.0026438435706623853,False
Android,0.2,42,balanced_accuracy,0.9070424802600612,0.905052155134291,0.0019903251257701315,True
Android,0.2,123,accuracy,0.920479302832244,0.9226579520697168,-0.002178649237472796,False
Android,0.2,123,macro_precision,0.9128630899262667,0.9188832029812828,-0.006020113055016041,False
Android,0.2,123,macro_recall,0.909323533653837,0.9049363986007652,0.004387135053071756,True
Android,0.2,123,macro_f1,0.9101960118420432,0.9106265384959904,-0.00043052665394716083,False
Android,0.2,123,balanced_accuracy,0.909323533653837,0.9049363986007652,0.004387135053071756,True
Android,0.2,2026,accuracy,0.9237472766884532,0.9193899782135077,0.004357298474945592,True
Android,0.2,2026,macro_precision,0.9169395246449752,0.9155079978344928,0.0014315268104824197,True
Android,0.2,2026,macro_recall,0.9084496298062668,0.8999346864087654,0.008514943397501362,True
Android,0.2,2026,macro_f1,0.912136805216888,0.9065310266002496,0.005605778616638357,True
Android,0.2,2026,balanced_accuracy,0.9084496298062668,0.8999346864087654,0.008514943397501362,True
