dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
MalMem,0.3,0.7,0.99,0.2402567517241084,0.0101105845181674,0.9961113136468588,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.4,0.6,0.9,0.1948487688913196,0.1003159557661927,0.9627106700334724,1.0,0.9810011070221104,1.0,1.0,5695,635,0,16394
MalMem,0.4,0.6,0.95,0.2475184974481396,0.0500789889415481,0.9810304589791156,1.0,0.9904244071892464,1.0,1.0,6013,317,0,16394
MalMem,0.4,0.6,0.975,0.2806251549145431,0.0251184834123222,0.9903944904246964,1.0,0.9951740674416488,1.0,1.0,6171,159,0,16394
MalMem,0.4,0.6,0.99,0.3203423356321446,0.0101105845181674,0.9961113136468588,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.5,0.5,0.9,0.2435609611141495,0.1003159557661927,0.9627106700334724,1.0,0.9810011070221104,1.0,1.0,5695,635,0,16394
MalMem,0.5,0.5,0.95,0.3093981218101745,0.0500789889415481,0.9810304589791156,1.0,0.9904244071892464,1.0,1.0,6013,317,0,16394
MalMem,0.5,0.5,0.975,0.3507814436431788,0.0251184834123222,0.9903944904246964,1.0,0.9951740674416488,1.0,1.0,6171,159,0,16394
MalMem,0.5,0.5,0.99,0.4004279195401808,0.0101105845181674,0.9961113136468588,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.6,0.4,0.9,0.2922731533369794,0.1003159557661927,0.9627106700334724,1.0,0.9810011070221104,0.9977727855199212,0.998929032616274,5695,635,0,16394
MalMem,0.6,0.4,0.95,0.3712777461722095,0.0500789889415481,0.9810304589791156,1.0,0.9904244071892464,0.9977727855199212,0.998929032616274,6013,317,0,16394
MalMem,0.6,0.4,0.975,0.4209377323718147,0.0251184834123222,0.9903944904246964,1.0,0.9951740674416488,0.9977727855199212,0.998929032616274,6171,159,0,16394
MalMem,0.6,0.4,0.99,0.4805135034482169,0.0101105845181674,0.9960868236013452,0.9937172136147372,0.994900607652142,0.9977727855199212,0.998929032616274,6266,64,103,16291
MalMem,0.7,0.3,0.9,0.3409853455598092,0.1003159557661927,0.9627106700334724,1.0,0.9810011070221104,0.9738325931673456,0.9848920914374928,5695,635,0,16394
MalMem,0.7,0.3,0.95,0.4331573705342443,0.0500789889415481,0.9770123277737492,0.8218250579480297,0.8927246223164591,0.9738325931673456,0.9848920914374928,6013,317,2921,13473
MalMem,0.7,0.3,0.975,0.4910940211004504,0.0251184834123222,0.9821066846725186,0.5323289008173722,0.6904272151898734,0.9738325931673456,0.9848920914374928,6171,159,7667,8727
MalMem,0.7,0.3,0.99,0.5605990873562531,0.0101105845181674,0.9870366619404496,0.2972428937416128,0.4568937227509259,0.9738325931673456,0.9848920914374928,6266,64,11521,4873
MalMem,0.8,0.1999999999999999,0.9,0.3896975377826392,0.1003159557661927,0.9461407972858354,0.6804318653165793,0.7915838773772353,0.92118064810441,0.9494209821030266,5695,635,5239,11155
MalMem,0.8,0.1999999999999999,0.95,0.4950369948962793,0.0500789889415481,0.9397681930457914,0.3016957423447602,0.4567576303273768,0.92118064810441,0.9494209821030266,6013,317,11448,4946
