dataset,poisoning_rate,metric,comparison,n_pairs,mean_difference,median_difference,rank_biserial_effect,wilcoxon_statistic,p_value,holm_p_value,holm_reject,effect_direction,friedman_statistic,friedman_p_value,friedman_significant_05,statistically_significant_raw,statistically_significant_holm,absolute_effect,practical_effect_magnitude,positive_difference,holm_significant
Android,0.1,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.0002537934038292,-0.0005831755795644,-0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_lower,2.6000000000000014,0.4574895468781833,False,False,False,0.0002537934038292,0.3333333333333333,False,False
Android,0.1,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0009836577962968,-0.0011274956238483,-0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_lower,4.200000000000003,0.2406618852096149,False,False,False,0.0009836577962968,0.3333333333333333,False,False
Android,0.1,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0015481055503558,0.0013101310975104,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False,False,False,0.0015481055503558,0.6666666666666666,True,False
Android,0.1,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.0025253569883086,-0.0029568251494725,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,4.200000000000003,0.2406618852096149,False,False,False,0.0025253569883086,1.0,False,False
Android,0.1,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,0.0009726929654884,0.0010934035836228,0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_higher,2.6000000000000014,0.4574895468781833,False,False,False,0.0009726929654884,0.3333333333333333,True,False
Android,0.1,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.002139481624508,0.0023297992528387,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,2.6000000000000014,0.4574895468781833,False,False,False,0.002139481624508,0.6666666666666666,True,False
Android,0.1,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.0002537934038292,-0.0005831755795644,-0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_lower,2.6000000000000014,0.4574895468781833,False,False,False,0.0002537934038292,0.3333333333333333,False,False
Android,0.2,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,0.0049641345254477,0.0043871350530717,1.0,0.0,0.25,0.75,False,PoisonShield_higher,3.4000000000000057,0.3339652490901599,False,False,False,0.0049641345254477,1.0,True,False
Android,0.2,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0003563071976503,0.0001115386760355,0.0,3.0,1.0,1.0,False,PoisonShield_lower,3.4000000000000057,0.3339652490901599,False,False,False,0.0003563071976503,0.0,False,False
Android,0.2,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0081357199403581,0.0119366540950482,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,3.4000000000000057,0.3339652490901599,False,False,False,0.0081357199403581,0.6666666666666666,True,False
Android,0.2,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,0.0008438027973429,-0.0004305266539471,0.0,3.0,1.0,1.0,False,PoisonShield_higher,2.6000000000000014,0.4574895468781833,False,False,False,0.0008438027973429,0.0,True,False
Android,0.2,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0001913973185422,0.0007002808569962,0.0,3.0,1.0,1.0,False,PoisonShield_higher,2.6000000000000014,0.4574895468781833,False,False,False,0.0001913973185422,0.0,True,False
Android,0.2,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0059680510086206,0.0077888336397986,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,2.6000000000000014,0.4574895468781833,False,False,False,0.0059680510086206,0.6666666666666666,True,False
Android,0.2,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,0.0049641345254477,0.0043871350530717,1.0,0.0,0.25,0.75,False,PoisonShield_higher,3.4000000000000057,0.3339652490901599,False,False,False,0.0049641345254477,1.0,True,False
Android,0.2,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0003563071976503,0.0001115386760355,0.0,3.0,1.0,1.0,False,PoisonShield_lower,3.4000000000000057,0.3339652490901599,False,False,False,0.0003563071976503,0.0,False,False
Android,0.2,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0081357199403581,0.0119366540950482,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,3.4000000000000057,0.3339652490901599,False,False,False,0.0081357199403581,0.6666666666666666,True,False
