dataset,poisoning_rate,defense,metric,n,mean,std,sem,ci95_lower,ci95_upper
Android,0.2,E3_Anomaly_Only,balanced_accuracy,3,0.9001361612996969,0.006341916888631201,0.003661507422829458,0.8843819663918617,0.915890356207532
Android,0.2,E3_Anomaly_Only,macro_f1,3,0.9045962466781755,0.005820228818374088,0.0033603106750334974,0.8901379967794364,0.9190544965769146
Android,0.2,E3_Anomaly_Only,macro_precision,3,0.9123561468106166,0.004945725562253878,0.0028554159847052896,0.9000702834294542,0.924642010191779
Android,0.2,E3_Anomaly_Only,macro_recall,3,0.9001361612996969,0.006341916888631201,0.003661507422829458,0.8843819663918617,0.915890356207532
Android,0.2,E3_Anomaly_Only,poison_removal_rate,3,0.0401869158878504,0.00729929876252956,0.004214252105441944,0.022054452562518204,0.0583193792131826
Android,0.2,E3_Anomaly_Only,retention,3,0.9525322369650532,0.0014595869325184706,0.0008426929083951992,0.948906422022406,0.9561580519077003
Android,0.2,E4_PoisonShield,accuracy,3,0.9222948438634714,0.0016639708405795093,0.0009606940127322676,0.918161311147135,0.9264283765798078
Android,0.2,E4_PoisonShield,balanced_accuracy,3,0.9082718812400549,0.0011508679598054706,0.0006644539263954039,0.9054129667398569,0.9111307957402528
Android,0.2,E4_PoisonShield,macro_f1,3,0.9105642976867961,0.0014245287401595352,0.0008224520515994661,0.9070255721218936,0.9141030232516987
Android,0.2,E4_PoisonShield,macro_precision,3,0.9145175972822148,0.0021438353724376356,0.0012377439293751106,0.9091920149857582,0.9198431795786715
Android,0.2,E4_PoisonShield,macro_recall,3,0.9082718812400549,0.0011508679598054706,0.0006644539263954039,0.9054129667398569,0.9111307957402528
Android,0.2,E4_PoisonShield,poison_removal_rate,3,0.954828660436137,0.005314243647735867,0.0030681800005595617,0.9416273473813667,0.9680299734909074
Android,0.2,E4_PoisonShield,retention,3,0.7834672646857285,0.002351533805292085,0.0013576586754938903,0.7776257308795467,0.7893087984919103
MalMem,0.01,E1_No_Defense,accuracy,3,0.9123887748117726,0.0005980001417154538,0.00034525554279485164,0.9109032601081052,0.91387428951544
MalMem,0.01,E1_No_Defense,balanced_accuracy,3,0.7846567278269868,0.0014432214332386528,0.0008332442829805738,0.7810715670382723,0.7882418886157013
MalMem,0.01,E1_No_Defense,macro_f1,3,0.7848652367003863,0.001499088383616368,0.0008654990818199511,0.7811412947133981,0.7885891786873745
MalMem,0.01,E1_No_Defense,macro_precision,3,0.7851371862726534,0.0015970282858366748,0.0009220447107312508,0.7811699480810745,0.7891044244642322
MalMem,0.01,E1_No_Defense,macro_recall,3,0.7846567278269868,0.0014432214332386528,0.0008332442829805738,0.7810715670382723,0.7882418886157013
MalMem,0.01,E1_No_Defense,poison_removal_rate,3,0.0,0.0,0.0,0.0,0.0
MalMem,0.01,E1_No_Defense,retention,3,1.0,0.0,0.0,1.0,1.0
MalMem,0.01,E2_Integrity_Only,accuracy,3,0.9134944453219607,0.0015583266031643371,0.0008997002838222852,0.9096233474398163,0.917365543204105
MalMem,0.01,E2_Integrity_Only,balanced_accuracy,3,0.7873827130114265,0.0038033027417160433,0.0021958378617393994,0.7779347852415263,0.7968306407813267
MalMem,0.01,E2_Integrity_Only,macro_f1,3,0.787410441824854,0.0038223342981802367,0.002206825735987099,0.7779152370478277,0.7969056466018802
