dataset,poisoning_rate,seed,metric,comparison,poisonshield_value,baseline_value,absolute_difference
Android,0.05,123,balanced_accuracy,PoisonShield_vs_No_Defense,0.911446661797538,0.907790192541343,0.003656469256195005
Android,0.05,123,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.911446661797538,0.9086769250158284,0.002769736781709553
Android,0.05,123,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.911446661797538,0.911505876998492,-5.921520095397703e-05
Android,0.05,123,macro_f1,PoisonShield_vs_No_Defense,0.910737131373305,0.9076824388212362,0.003054692552068805
Android,0.05,123,macro_f1,PoisonShield_vs_Integrity_Only,0.910737131373305,0.9101703916285788,0.0005667397447262079
Android,0.05,123,macro_f1,PoisonShield_vs_Anomaly_Only,0.910737131373305,0.9122034306234232,-0.0014662992501182082
Android,0.05,123,macro_precision,PoisonShield_vs_No_Defense,0.91187542243724,0.9091724868274892,0.0027029356097507673
Android,0.05,123,macro_precision,PoisonShield_vs_Integrity_Only,0.91187542243724,0.9137226687647464,-0.0018472463275064355
Android,0.05,123,macro_precision,PoisonShield_vs_Anomaly_Only,0.91187542243724,0.915036530255254,-0.0031611078180140417
Android,0.05,123,macro_recall,PoisonShield_vs_No_Defense,0.911446661797538,0.907790192541343,0.003656469256195005
Android,0.05,123,macro_recall,PoisonShield_vs_Integrity_Only,0.911446661797538,0.9086769250158284,0.002769736781709553
Android,0.05,123,macro_recall,PoisonShield_vs_Anomaly_Only,0.911446661797538,0.911505876998492,-5.921520095397703e-05
Android,0.05,123,poison_removal_rate,PoisonShield_vs_No_Defense,0.9733333333333334,0.0,0.9733333333333334
Android,0.05,123,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.9733333333333334,0.9733333333333334,0.0
Android,0.05,123,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.9733333333333334,0.0577777777777777,0.9155555555555557
Android,0.05,123,retention,PoisonShield_vs_No_Defense,0.9387483355525964,1.0,-0.0612516644474036
Android,0.05,123,retention,PoisonShield_vs_Integrity_Only,0.9387483355525964,0.9456280514869064,-0.006879715934310027
Android,0.05,123,retention,PoisonShield_vs_Anomaly_Only,0.9387483355525964,0.9502885042166,-0.011540168664003647
Android,0.05,2026,accuracy,PoisonShield_vs_No_Defense,0.9248366013071896,0.9226579520697168,0.002178649237472796
Android,0.05,2026,accuracy,PoisonShield_vs_Integrity_Only,0.9248366013071896,0.920479302832244,0.004357298474945592
Android,0.05,2026,accuracy,PoisonShield_vs_Anomaly_Only,0.9248366013071896,0.9172113289760347,0.007625272331154842
Android,0.05,2026,balanced_accuracy,PoisonShield_vs_No_Defense,0.908630572750918,0.9092179661879728,-0.0005873934370548284
Android,0.05,2026,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.908630572750918,0.9078218919160008,0.0008086808349171415
Android,0.05,2026,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.908630572750918,0.9013083489185032,0.007322223832414765
Android,0.05,2026,macro_f1,PoisonShield_vs_No_Defense,0.91161806674967,0.9113857692815576,0.00023229746811248564
Android,0.05,2026,macro_f1,PoisonShield_vs_Integrity_Only,0.91161806674967,0.9084653110036324,0.003152755746037683
Android,0.05,2026,macro_f1,PoisonShield_vs_Anomaly_Only,0.91161806674967,0.9043673926322118,0.007250674117458278
Android,0.05,2026,macro_precision,PoisonShield_vs_No_Defense,0.9159960741406274,0.9149318999840352,0.0010641741565922125
Android,0.05,2026,macro_precision,PoisonShield_vs_Integrity_Only,0.9159960741406274,0.9102830679977242,0.005713006142903265
Android,0.05,2026,macro_precision,PoisonShield_vs_Anomaly_Only,0.9159960741406274,0.9089982949017696,0.006997779238857804
Android,0.05,2026,macro_recall,PoisonShield_vs_No_Defense,0.908630572750918,0.9092179661879728,-0.0005873934370548284
Android,0.05,2026,macro_recall,PoisonShield_vs_Integrity_Only,0.908630572750918,0.9078218919160008,0.0008086808349171415
Android,0.05,2026,macro_recall,PoisonShield_vs_Anomaly_Only,0.908630572750918,0.9013083489185032,0.007322223832414765
Android,0.05,2026,poison_removal_rate,PoisonShield_vs_No_Defense,0.9466666666666668,0.0,0.9466666666666668
Android,0.05,2026,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.9466666666666668,0.9466666666666668,0.0
Android,0.05,2026,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.9466666666666668,0.0177777777777777,0.9288888888888891
Android,0.05,2026,retention,PoisonShield_vs_No_Defense,0.9411895250776742,1.0,-0.05881047492232583
Android,0.05,2026,retention,PoisonShield_vs_Integrity_Only,0.9411895250776742,0.948069241011984,-0.006879715934309805
Android,0.05,2026,retention,PoisonShield_vs_Anomaly_Only,0.9411895250776742,0.9522858411007544,-0.011096316023080255
Android,0.1,42,accuracy,PoisonShield_vs_No_Defense,0.9248366013071896,0.9248366013071896,0.0
Android,0.1,42,accuracy,PoisonShield_vs_Integrity_Only,0.9248366013071896,0.9215686274509804,0.0032679738562091387
Android,0.1,42,accuracy,PoisonShield_vs_Anomaly_Only,0.9248366013071896,0.9248366013071896,0.0
Android,0.1,42,balanced_accuracy,PoisonShield_vs_No_Defense,0.9120854749620376,0.9109920713784148,0.001093403583622865
Android,0.1,42,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.9120854749620376,0.9074934930631656,0.004591981898872
Android,0.1,42,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.9120854749620376,0.9143443778073465,-0.00225890284530883
Android,0.1,42,macro_f1,PoisonShield_vs_No_Defense,0.912717796714657,0.9138452923385054,-0.0011274956238483957
Android,0.1,42,macro_f1,PoisonShield_vs_Integrity_Only,0.912717796714657,0.9086334997021368,0.004084297012520222
Android,0.1,42,macro_f1,PoisonShield_vs_Anomaly_Only,0.912717796714657,0.9156746218641296,-0.0029568251494725972
Android,0.1,42,macro_precision,PoisonShield_vs_No_Defense,0.915468907210564,0.9180218608039876,-0.002552953593423668
Android,0.1,42,macro_precision,PoisonShield_vs_Integrity_Only,0.915468907210564,0.9116532670064432,0.0038156402041207294
Android,0.1,42,macro_precision,PoisonShield_vs_Anomaly_Only,0.915468907210564,0.9194859195080816,-0.004017012297517608
Android,0.1,42,macro_recall,PoisonShield_vs_No_Defense,0.9120854749620376,0.9109920713784148,0.001093403583622865
Android,0.1,42,macro_recall,PoisonShield_vs_Integrity_Only,0.9120854749620376,0.9074934930631656,0.004591981898872
Android,0.1,42,macro_recall,PoisonShield_vs_Anomaly_Only,0.9120854749620376,0.9143443778073465,-0.00225890284530883
Android,0.1,42,poison_removal_rate,PoisonShield_vs_No_Defense,0.953781512605042,0.0,0.953781512605042
Android,0.1,42,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.953781512605042,0.953781512605042,0.0
Android,0.1,42,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.953781512605042,0.0462184873949579,0.907563025210084
Android,0.1,42,retention,PoisonShield_vs_No_Defense,0.8883750262770653,1.0,-0.11162497372293467
Android,0.1,42,retention,PoisonShield_vs_Integrity_Only,0.8883750262770653,0.8946815219676266,-0.006306495690561298
Android,0.1,42,retention,PoisonShield_vs_Anomaly_Only,0.8883750262770653,0.9510195501366407,-0.06264452385957542
Android,0.1,123,accuracy,PoisonShield_vs_No_Defense,0.9215686274509804,0.9281045751633988,-0.0065359477124183885
Android,0.1,123,accuracy,PoisonShield_vs_Integrity_Only,0.9215686274509804,0.9215686274509804,0.0
Android,0.1,123,accuracy,PoisonShield_vs_Anomaly_Only,0.9215686274509804,0.9226579520697168,-0.0010893246187363426
Android,0.1,123,balanced_accuracy,PoisonShield_vs_No_Defense,0.9078700318427212,0.9134387745851182,-0.005568742742397048
Android,0.1,123,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.9078700318427212,0.9083733681209076,-0.0005033362781864392
Android,0.1,123,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.9078700318427212,0.9084532074222856,-0.0005831755795644433
Android,0.1,123,macro_f1,PoisonShield_vs_No_Defense,0.9098135983948956,0.9158597257253736,-0.006046127330477935
