dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Android,0.4,0.6,0.99,0.3395967267798493,0.010893246187363835,0.9981768459434822,0.9989053092501369,0.9985409447382819,0.9988586040347741,0.9995319678919437,908,10,6,5475
Android,0.5,0.5,0.9,0.17093009404595982,0.10021786492374728,0.9834740434704509,0.9989053092501369,0.9911296162201303,0.9988585046619755,0.9995319345862763,826,92,6,5475
Android,0.5,0.5,0.95,0.25564267960494497,0.05010893246187364,0.9916681760550625,0.9989053092501369,0.9952735866206144,0.9988585046619755,0.9995319345862763,872,46,6,5475
Android,0.5,0.5,0.975,0.33301133962826307,0.02505446623093682,0.995816660603856,0.9989053092501369,0.9973585936788414,0.9988585046619755,0.9995319345862763,895,23,6,5475
Android,0.5,0.5,0.99,0.4244959084748116,0.010893246187363835,0.9981768459434822,0.9989053092501369,0.9985409447382819,0.9988585046619755,0.9995319345862763,908,10,6,5475
Android,0.6,0.4,0.9,0.2051161128551518,0.10021786492374728,0.9834740434704509,0.9989053092501369,0.9911296162201303,0.9825749797577609,0.9937742488841914,826,92,6,5475
Android,0.6,0.4,0.95,0.30677121552593395,0.05010893246187364,0.9916681760550625,0.9989053092501369,0.9952735866206144,0.9825749797577609,0.9937742488841914,872,46,6,5475
Android,0.6,0.4,0.975,0.3996136075539157,0.02505446623093682,0.995816660603856,0.9989053092501369,0.9973585936788414,0.9825749797577609,0.9937742488841914,895,23,6,5475
Android,0.6,0.4,0.99,0.5093950901697739,0.010893246187363835,0.9899193548387096,0.1791643860609378,0.30341418198671405,0.9825749797577609,0.9937742488841914,908,10,4499,982
Android,0.7,0.30000000000000004,0.9,0.23930213166434375,0.10021786492374728,0.9834740434704509,0.9989053092501369,0.9911296162201303,0.9507967512249687,0.9812012458490471,826,92,6,5475
Android,0.7,0.30000000000000004,0.95,0.3578997514469229,0.05010893246187364,0.9813614262560778,0.44189016602809705,0.6093848282802868,0.9507967512249687,0.9812012458490471,872,46,3059,2422
Android,0.7,0.30000000000000004,0.975,0.4662158754795683,0.02505446623093682,0.9655688622754491,0.11767925561029009,0.2097902097902098,0.9507967512249687,0.9812012458490471,895,23,4836,645
Android,0.7,0.30000000000000004,0.99,0.5767680627276075,0.010893246187363835,0.9728260869565217,0.06531654807516876,0.1224140878782698,0.9507967512249687,0.9812012458490471,908,10,5123,358
Android,0.8,0.19999999999999996,0.9,0.27348815047353575,0.10021786492374728,0.9598778892280855,0.40156905674147053,0.5662464625675327,0.8866074881776181,0.9570376521601007,826,92,3280,2201
Android,0.8,0.19999999999999996,0.95,0.40902828736791197,0.05010893246187364,0.9250814332247557,0.1036307243203795,0.1863822805578343,0.8866074881776181,0.9570376521601007,872,46,4913,568
Android,0.8,0.19999999999999996,0.975,0.5265398649823623,0.02505446623093682,0.9385026737967914,0.06403940886699508,0.11989752348420153,0.8866074881776181,0.9570376521601007,895,23,5130,351
Android,0.8,0.19999999999999996,0.99,0.6591635002601229,0.010893246187363835,0.9173553719008265,0.020251778872468526,0.039628704034273474,0.8866074881776181,0.9570376521601007,908,10,5370,111
Android,0.9,0.09999999999999998,0.9,0.3076741692827277,0.10021786492374728,0.8792650918635171,0.12224046706805328,0.2146403972449143,0.7530341496609996,0.9126243244123871,826,92,4811,670
Android,0.9,0.09999999999999998,0.95,0.44939099621152845,0.05010893246187364,0.8869778869778869,0.06586389345010035,0.12262228260869565,0.7530341496609996,0.9126243244123871,872,46,5120,361
Android,0.9,0.09999999999999998,0.975,0.5923573481051576,0.02505446623093682,0.8553459119496856,0.02481299033023171,0.04822695035460993,0.7530341496609996,0.9126243244123871,895,23,5345,136
Android,0.9,0.09999999999999998,0.99,0.7415589377926384,0.010893246187363835,0.8765432098765432,0.012953840540047437,0.025530384753685725,0.7530341496609996,0.9126243244123871,908,10,5410,71
Android,1.0,0.0,0.9,0.33803844283228496,0.10021786492374728,0.8152610441767069,0.07407407407407407,0.13580866365612979,0.47064229409658,0.8377575552535896,826,92,5075,406
Android,1.0,0.0,0.95,0.49932332912392047,0.05010893246187364,0.8327272727272728,0.04178069695311075,0.07956914523974983,0.47064229409658,0.8377575552535896,872,46,5252,229
Android,1.0,0.0,0.975,0.6581748312279528,0.02505446623093682,0.7870370370370371,0.015508118956394819,0.030416890320271964,0.47064229409658,0.8377575552535896,895,23,5396,85
