dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
MalMem,0.3,0.7,0.99,0.24025675172410846,0.010110584518167456,0.9961113136468587,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.4,0.6,0.9,0.1948487688913196,0.10031595576619273,0.9627106700334723,1.0,0.9810011070221105,1.0,1.0,5695,635,0,16394
MalMem,0.4,0.6,0.95,0.24751849744813967,0.050078988941548185,0.9810304589791156,1.0,0.9904244071892463,1.0,1.0,6013,317,0,16394
MalMem,0.4,0.6,0.975,0.2806251549145431,0.025118483412322274,0.9903944904246964,1.0,0.9951740674416487,1.0,1.0,6171,159,0,16394
MalMem,0.4,0.6,0.99,0.32034233563214465,0.010110584518167456,0.9961113136468587,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.5,0.5,0.9,0.2435609611141495,0.10031595576619273,0.9627106700334723,1.0,0.9810011070221105,1.0,1.0,5695,635,0,16394
MalMem,0.5,0.5,0.95,0.30939812181017456,0.050078988941548185,0.9810304589791156,1.0,0.9904244071892463,1.0,1.0,6013,317,0,16394
MalMem,0.5,0.5,0.975,0.35078144364317887,0.025118483412322274,0.9903944904246964,1.0,0.9951740674416487,1.0,1.0,6171,159,0,16394
MalMem,0.5,0.5,0.99,0.4004279195401808,0.010110584518167456,0.9961113136468587,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.6,0.4,0.9,0.2922731533369794,0.10031595576619273,0.9627106700334723,1.0,0.9810011070221105,0.9977727855199211,0.9989290326162741,5695,635,0,16394
MalMem,0.6,0.4,0.95,0.3712777461722095,0.050078988941548185,0.9810304589791156,1.0,0.9904244071892463,0.9977727855199211,0.9989290326162741,6013,317,0,16394
MalMem,0.6,0.4,0.975,0.4209377323718147,0.025118483412322274,0.9903944904246964,1.0,0.9951740674416487,0.9977727855199211,0.9989290326162741,6171,159,0,16394
MalMem,0.6,0.4,0.99,0.4805135034482169,0.010110584518167456,0.9960868236013452,0.9937172136147371,0.994900607652142,0.9977727855199211,0.9989290326162741,6266,64,103,16291
MalMem,0.7,0.30000000000000004,0.9,0.34098534555980925,0.10031595576619273,0.9627106700334723,1.0,0.9810011070221105,0.9738325931673457,0.9848920914374928,5695,635,0,16394
MalMem,0.7,0.30000000000000004,0.95,0.43315737053424436,0.050078988941548185,0.9770123277737491,0.8218250579480297,0.8927246223164591,0.9738325931673457,0.9848920914374928,6013,317,2921,13473
MalMem,0.7,0.30000000000000004,0.975,0.4910940211004504,0.025118483412322274,0.9821066846725186,0.5323289008173722,0.6904272151898734,0.9738325931673457,0.9848920914374928,6171,159,7667,8727
MalMem,0.7,0.30000000000000004,0.99,0.5605990873562531,0.010110584518167456,0.9870366619404497,0.2972428937416128,0.4568937227509259,0.9738325931673457,0.9848920914374928,6266,64,11521,4873
MalMem,0.8,0.19999999999999996,0.9,0.3896975377826392,0.10031595576619273,0.9461407972858354,0.6804318653165793,0.7915838773772353,0.92118064810441,0.9494209821030266,5695,635,5239,11155
MalMem,0.8,0.19999999999999996,0.95,0.49503699489627934,0.050078988941548185,0.9397681930457914,0.30169574234476026,0.4567576303273768,0.92118064810441,0.9494209821030266,6013,317,11448,4946
MalMem,0.8,0.19999999999999996,0.975,0.5612503098290862,0.025118483412322274,0.9550720542526138,0.20617299011833598,0.3391361059549491,0.92118064810441,0.9494209821030266,6171,159,13014,3380
MalMem,0.8,0.19999999999999996,0.99,0.6406846712642893,0.010110584518167456,0.9705747126436781,0.12876662193485422,0.22736819430233185,0.92118064810441,0.9494209821030266,6266,64,14283,2111
MalMem,0.9,0.09999999999999998,0.9,0.43840973000546907,0.10031595576619273,0.8828845444485429,0.2919970720995486,0.43885221855518886,0.8402926088822616,0.8958109563373364,5695,635,11607,4787
MalMem,0.9,0.09999999999999998,0.95,0.5569166192583143,0.050078988941548185,0.8905008635578584,0.15725265340978406,0.26730260770387265,0.8402926088822616,0.8958109563373364,6013,317,13816,2578
