experiment_id,dataset,poisoning_rate,seed,defense,metric,value
PS-017,MalMem,0.05,123,E1_No_Defense,macro_precision,0.7923063820005523
PS-017,MalMem,0.05,123,E1_No_Defense,macro_recall,0.7903774326708202
PS-017,MalMem,0.05,123,E1_No_Defense,macro_f1,0.7913229856702746
PS-017,MalMem,0.05,123,E1_No_Defense,balanced_accuracy,0.7903774326708202
PS-017,MalMem,0.05,123,E1_No_Defense,retention,1.0
PS-017,MalMem,0.05,123,E1_No_Defense,poison_removal_rate,0.0
PS-018,MalMem,0.05,123,E2_Integrity_Only,accuracy,0.9140736060653926
PS-018,MalMem,0.05,123,E2_Integrity_Only,macro_precision,0.7887319777662457
PS-018,MalMem,0.05,123,E2_Integrity_Only,macro_recall,0.7888195122973138
PS-018,MalMem,0.05,123,E2_Integrity_Only,macro_f1,0.7887394308624145
PS-018,MalMem,0.05,123,E2_Integrity_Only,balanced_accuracy,0.7888195122973138
PS-018,MalMem,0.05,123,E2_Integrity_Only,retention,0.9478389503473116
PS-018,MalMem,0.05,123,E2_Integrity_Only,poison_removal_rate,0.94983922829582
PS-019,MalMem,0.05,123,E3_Anomaly_Only,accuracy,0.908229347654399
PS-019,MalMem,0.05,123,E3_Anomaly_Only,macro_precision,0.7771476077347188
PS-019,MalMem,0.05,123,E3_Anomaly_Only,macro_recall,0.7783786402046402
PS-019,MalMem,0.05,123,E3_Anomaly_Only,macro_f1,0.7777456313414954
PS-019,MalMem,0.05,123,E3_Anomaly_Only,balanced_accuracy,0.7783786402046402
PS-019,MalMem,0.05,123,E3_Anomaly_Only,retention,0.9506045793671212
PS-019,MalMem,0.05,123,E3_Anomaly_Only,poison_removal_rate,0.090032154340836
PS-020,MalMem,0.05,123,E4_PoisonShield,accuracy,0.9105986416048018
PS-020,MalMem,0.05,123,E4_PoisonShield,macro_precision,0.7823178432943636
PS-020,MalMem,0.05,123,E4_PoisonShield,macro_recall,0.7806024778479566
PS-020,MalMem,0.05,123,E4_PoisonShield,macro_f1,0.7813108905322212
PS-020,MalMem,0.05,123,E4_PoisonShield,balanced_accuracy,0.7806024778479566
PS-020,MalMem,0.05,123,E4_PoisonShield,retention,0.935200668896321
PS-020,MalMem,0.05,123,E4_PoisonShield,poison_removal_rate,0.9504823151125402
PS-021,MalMem,0.05,2026,E1_No_Defense,accuracy,0.9154951824356342
PS-021,MalMem,0.05,2026,E1_No_Defense,macro_precision,0.79341789827172
PS-021,MalMem,0.05,2026,E1_No_Defense,macro_recall,0.7922024084582702
PS-021,MalMem,0.05,2026,E1_No_Defense,macro_f1,0.7927431548292918
PS-021,MalMem,0.05,2026,E1_No_Defense,balanced_accuracy,0.7922024084582702
PS-021,MalMem,0.05,2026,E1_No_Defense,retention,1.0
PS-021,MalMem,0.05,2026,E1_No_Defense,poison_removal_rate,0.0
PS-022,MalMem,0.05,2026,E2_Integrity_Only,accuracy,0.9145474648554732
PS-022,MalMem,0.05,2026,E2_Integrity_Only,macro_precision,0.790103225408298
PS-022,MalMem,0.05,2026,E2_Integrity_Only,macro_recall,0.790035149986365
PS-022,MalMem,0.05,2026,E2_Integrity_Only,macro_f1,0.790024454706025
PS-022,MalMem,0.05,2026,E2_Integrity_Only,balanced_accuracy,0.790035149986365
PS-022,MalMem,0.05,2026,E2_Integrity_Only,retention,0.9470028299459736
PS-022,MalMem,0.05,2026,E2_Integrity_Only,poison_removal_rate,0.957556270096463
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,accuracy,0.9060180066340232
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,macro_precision,0.7718178820239665
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,macro_recall,0.772868839821864
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,macro_f1,0.7723410414499001
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,balanced_accuracy,0.772868839821864
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,retention,0.9506367378440956
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,poison_removal_rate,0.0893890675241157
PS-024,MalMem,0.05,2026,E4_PoisonShield,accuracy,0.9109145474648556
PS-024,MalMem,0.05,2026,E4_PoisonShield,macro_precision,0.7823611261889949
PS-024,MalMem,0.05,2026,E4_PoisonShield,macro_recall,0.7813541947966016
PS-024,MalMem,0.05,2026,E4_PoisonShield,macro_f1,0.7817461621085211
PS-024,MalMem,0.05,2026,E4_PoisonShield,balanced_accuracy,0.7813541947966016
PS-024,MalMem,0.05,2026,E4_PoisonShield,retention,0.9343645484949832
PS-024,MalMem,0.05,2026,E4_PoisonShield,poison_removal_rate,0.9594855305466238
PS-025,MalMem,0.1,42,E1_No_Defense,accuracy,0.9166008529458222
PS-025,MalMem,0.1,42,E1_No_Defense,macro_precision,0.7972679628440602
PS-025,MalMem,0.1,42,E1_No_Defense,macro_recall,0.7948017969109235
PS-025,MalMem,0.1,42,E1_No_Defense,macro_f1,0.7959041495025023
PS-025,MalMem,0.1,42,E1_No_Defense,balanced_accuracy,0.7948017969109235
PS-025,MalMem,0.1,42,E1_No_Defense,retention,1.0
PS-025,MalMem,0.1,42,E1_No_Defense,poison_removal_rate,0.0
PS-026,MalMem,0.1,42,E2_Integrity_Only,accuracy,0.9184962881061444
PS-026,MalMem,0.1,42,E2_Integrity_Only,macro_precision,0.7997729305043764
PS-026,MalMem,0.1,42,E2_Integrity_Only,macro_recall,0.7995566500687437
PS-026,MalMem,0.1,42,E2_Integrity_Only,macro_f1,0.7995636366869393
PS-026,MalMem,0.1,42,E2_Integrity_Only,balanced_accuracy,0.7995566500687437
PS-026,MalMem,0.1,42,E2_Integrity_Only,retention,0.8946775127197392
PS-026,MalMem,0.1,42,E2_Integrity_Only,poison_removal_rate,0.9542961608775136
PS-027,MalMem,0.1,42,E3_Anomaly_Only,accuracy,0.9036487126836202
PS-027,MalMem,0.1,42,E3_Anomaly_Only,macro_precision,0.7668455223860552
PS-027,MalMem,0.1,42,E3_Anomaly_Only,macro_recall,0.7669898114094409
PS-027,MalMem,0.1,42,E3_Anomaly_Only,macro_f1,0.7669099706441123
PS-027,MalMem,0.1,42,E3_Anomaly_Only,balanced_accuracy,0.7669898114094409
PS-027,MalMem,0.1,42,E3_Anomaly_Only,retention,0.9478414526399171
PS-027,MalMem,0.1,42,E3_Anomaly_Only,poison_removal_rate,0.0962827544180377
PS-028,MalMem,0.1,42,E4_PoisonShield,accuracy,0.9156531353656612
PS-028,MalMem,0.1,42,E4_PoisonShield,macro_precision,0.7937881316717894
PS-028,MalMem,0.1,42,E4_PoisonShield,macro_recall,0.7927921331008785
PS-028,MalMem,0.1,42,E4_PoisonShield,macro_f1,0.7931943089154346
PS-028,MalMem,0.1,42,E4_PoisonShield,balanced_accuracy,0.7927921331008785
PS-028,MalMem,0.1,42,E4_PoisonShield,retention,0.8828260670871035
PS-028,MalMem,0.1,42,E4_PoisonShield,poison_removal_rate,0.9552102376599636
PS-029,MalMem,0.1,123,E1_No_Defense,accuracy,0.919917864476386
PS-029,MalMem,0.1,123,E1_No_Defense,macro_precision,0.806755168335221
PS-029,MalMem,0.1,123,E1_No_Defense,macro_recall,0.8030588895792806
PS-029,MalMem,0.1,123,E1_No_Defense,macro_f1,0.8048157006731262
PS-029,MalMem,0.1,123,E1_No_Defense,balanced_accuracy,0.8030588895792806
PS-029,MalMem,0.1,123,E1_No_Defense,retention,1.0
PS-029,MalMem,0.1,123,E1_No_Defense,poison_removal_rate,0.0
PS-030,MalMem,0.1,123,E2_Integrity_Only,accuracy,0.91770652345601
PS-030,MalMem,0.1,123,E2_Integrity_Only,macro_precision,0.7976262342117901
PS-030,MalMem,0.1,123,E2_Integrity_Only,macro_recall,0.7976648624856666
PS-030,MalMem,0.1,123,E2_Integrity_Only,macro_f1,0.7975839362063988
PS-030,MalMem,0.1,123,E2_Integrity_Only,balanced_accuracy,0.7976648624856666
PS-030,MalMem,0.1,123,E2_Integrity_Only,retention,0.8957438381622642
PS-030,MalMem,0.1,123,E2_Integrity_Only,poison_removal_rate,0.9494210847044484
PS-031,MalMem,0.1,123,E3_Anomaly_Only,accuracy,0.9096509240246408
PS-031,MalMem,0.1,123,E3_Anomaly_Only,macro_precision,0.7836286041659253
PS-031,MalMem,0.1,123,E3_Anomaly_Only,macro_recall,0.7818422886187896
PS-031,MalMem,0.1,123,E3_Anomaly_Only,macro_f1,0.7827137967932505
PS-031,MalMem,0.1,123,E3_Anomaly_Only,balanced_accuracy,0.7818422886187896
PS-031,MalMem,0.1,123,E3_Anomaly_Only,retention,0.9486945129939371
PS-031,MalMem,0.1,123,E3_Anomaly_Only,poison_removal_rate,0.0877513711151736
PS-032,MalMem,0.1,123,E4_PoisonShield,accuracy,0.9148633707155268
PS-032,MalMem,0.1,123,E4_PoisonShield,macro_precision,0.7925783484179232
PS-032,MalMem,0.1,123,E4_PoisonShield,macro_recall,0.7910128885306528
PS-032,MalMem,0.1,123,E4_PoisonShield,macro_f1,0.7917142732895044
PS-032,MalMem,0.1,123,E4_PoisonShield,balanced_accuracy,0.7910128885306528
PS-032,MalMem,0.1,123,E4_PoisonShield,retention,0.8837400603235536
PS-032,MalMem,0.1,123,E4_PoisonShield,poison_removal_rate,0.9509445460085314
PS-033,MalMem,0.1,2026,E1_No_Defense,accuracy,0.9150213236455536
PS-033,MalMem,0.1,2026,E1_No_Defense,macro_precision,0.7963259378296168
PS-033,MalMem,0.1,2026,E1_No_Defense,macro_recall,0.791018561528877
PS-033,MalMem,0.1,2026,E1_No_Defense,macro_f1,0.7935667255162959
PS-033,MalMem,0.1,2026,E1_No_Defense,balanced_accuracy,0.791018561528877
PS-033,MalMem,0.1,2026,E1_No_Defense,retention,1.0
PS-033,MalMem,0.1,2026,E1_No_Defense,poison_removal_rate,0.0
PS-034,MalMem,0.1,2026,E2_Integrity_Only,accuracy,0.915811088295688
PS-034,MalMem,0.1,2026,E2_Integrity_Only,macro_precision,0.7932428331747319
PS-034,MalMem,0.1,2026,E2_Integrity_Only,macro_recall,0.7931016894557354
PS-034,MalMem,0.1,2026,E2_Integrity_Only,macro_f1,0.7931481455722311
PS-034,MalMem,0.1,2026,E2_Integrity_Only,balanced_accuracy,0.7931016894557354
PS-034,MalMem,0.1,2026,E2_Integrity_Only,retention,0.8941291167778692
PS-034,MalMem,0.1,2026,E2_Integrity_Only,poison_removal_rate,0.9570383912248628
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,accuracy,0.9069657242141842
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,macro_precision,0.7779837505275367
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,macro_recall,0.775539444061702
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,macro_f1,0.7767495724849711
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,balanced_accuracy,0.775539444061702
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,retention,0.947871919081132
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,poison_removal_rate,0.0959780621572212
PS-036,MalMem,0.1,2026,E4_PoisonShield,accuracy,0.9123361238350972
PS-036,MalMem,0.1,2026,E4_PoisonShield,macro_precision,0.7858511023081883
PS-036,MalMem,0.1,2026,E4_PoisonShield,macro_recall,0.7848389237891541
PS-036,MalMem,0.1,2026,E4_PoisonShield,macro_f1,0.785215324452821
PS-036,MalMem,0.1,2026,E4_PoisonShield,balanced_accuracy,0.7848389237891541
PS-036,MalMem,0.1,2026,E4_PoisonShield,retention,0.8822776711452335
PS-036,MalMem,0.1,2026,E4_PoisonShield,poison_removal_rate,0.9579524680073126
PS-037,MalMem,0.2,42,E1_No_Defense,accuracy,0.9222871584267888
PS-037,MalMem,0.2,42,E1_No_Defense,macro_precision,0.8164050598253652
PS-037,MalMem,0.2,42,E1_No_Defense,macro_recall,0.8086320797128079
PS-037,MalMem,0.2,42,E1_No_Defense,macro_f1,0.8122492356056605
PS-037,MalMem,0.2,42,E1_No_Defense,balanced_accuracy,0.8086320797128079
PS-037,MalMem,0.2,42,E1_No_Defense,retention,1.0
PS-037,MalMem,0.2,42,E1_No_Defense,poison_removal_rate,0.0
PS-038,MalMem,0.2,42,E2_Integrity_Only,accuracy,0.919917864476386
PS-038,MalMem,0.2,42,E2_Integrity_Only,macro_precision,0.8029842802584095
PS-038,MalMem,0.2,42,E2_Integrity_Only,macro_recall,0.8029677669289398
PS-038,MalMem,0.2,42,E2_Integrity_Only,macro_f1,0.8028784570923957
PS-038,MalMem,0.2,42,E2_Integrity_Only,balanced_accuracy,0.8029677669289398
PS-038,MalMem,0.2,42,E2_Integrity_Only,retention,0.7885771543086172
PS-038,MalMem,0.2,42,E2_Integrity_Only,poison_removal_rate,0.9561272850372377
PS-039,MalMem,0.2,42,E3_Anomaly_Only,accuracy,0.9129679355552044
PS-039,MalMem,0.2,42,E3_Anomaly_Only,macro_precision,0.7928494847634248
PS-039,MalMem,0.2,42,E3_Anomaly_Only,macro_recall,0.7861004407109724
PS-039,MalMem,0.2,42,E3_Anomaly_Only,macro_f1,0.7893736550989926
PS-039,MalMem,0.2,42,E3_Anomaly_Only,balanced_accuracy,0.7861004407109724
PS-039,MalMem,0.2,42,E3_Anomaly_Only,retention,0.9436711260358556
PS-039,MalMem,0.2,42,E3_Anomaly_Only,poison_removal_rate,0.0926201760324983
