dataset,poisoning_rate,metric,comparison,n_pairs,mean_difference,median_difference,rank_biserial_effect,wilcoxon_statistic,p_value,holm_p_value,holm_reject,effect_direction,friedman_statistic,friedman_p_value,friedman_significant_05
MalMem,0.2,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0074575587441478,0.007203740692708,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True
MalMem,0.2,retention,E4_PoisonShield_vs_E1_No_Defense,3,-0.2211720738774847,-0.2211991550668905,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.2,retention,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0104984744263301,-0.0104804203000595,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.2,retention,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.1655021755222156,-0.1655743920272979,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
MalMem,0.2,poison_removal_rate,E4_PoisonShield_vs_E1_No_Defense,3,0.9556307831189348,0.9558564658090724,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
MalMem,0.2,poison_removal_rate,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0012638230647708,0.0012186865267433,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
MalMem,0.2,poison_removal_rate,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.8663055743624465,0.8654028436018957,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
Android,0.01,accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0025417574437182,-0.0021786492374727,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.46428571428572,0.037330335897056,True
Android,0.01,accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0007262164124908,0.0010893246187363,1.0,0.0,0.5,0.75,False,PoisonShield_higher,8.46428571428572,0.037330335897056,True
Android,0.01,accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0018155410312273,0.0021786492374727,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.46428571428572,0.037330335897056,True
Android,0.01,macro_precision,E4_PoisonShield_vs_E1_No_Defense,3,-0.0046496000659638,-0.0030384294466595,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,5.800000000000004,0.1217566197112534,False
