experiment_id,dataset,poisoning_rate,seed,defense,clean_count,poison_count,final_count,actual_poisoning_rate
PS-046,MalMem,0.2,2026,E2_Integrity_Only,29541,7385,36926,0.19999458376211884
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,29541,7385,36926,0.19999458376211884
PS-048,MalMem,0.2,2026,E4_PoisonShield,29541,7385,36926,0.19999458376211884
PS-049,Android,0.01,42,E1_No_Defense,4281,43,4324,0.009944495837187789
PS-050,Android,0.01,42,E2_Integrity_Only,4281,43,4324,0.009944495837187789
PS-051,Android,0.01,42,E3_Anomaly_Only,4281,43,4324,0.009944495837187789
PS-052,Android,0.01,42,E4_PoisonShield,4281,43,4324,0.009944495837187789
PS-053,Android,0.01,123,E1_No_Defense,4281,43,4324,0.009944495837187789
PS-054,Android,0.01,123,E2_Integrity_Only,4281,43,4324,0.009944495837187789
PS-055,Android,0.01,123,E3_Anomaly_Only,4281,43,4324,0.009944495837187789
PS-056,Android,0.01,123,E4_PoisonShield,4281,43,4324,0.009944495837187789
PS-057,Android,0.01,2026,E1_No_Defense,4281,43,4324,0.009944495837187789
PS-058,Android,0.01,2026,E2_Integrity_Only,4281,43,4324,0.009944495837187789
PS-059,Android,0.01,2026,E3_Anomaly_Only,4281,43,4324,0.009944495837187789
PS-060,Android,0.01,2026,E4_PoisonShield,4281,43,4324,0.009944495837187789
PS-061,Android,0.05,42,E1_No_Defense,4281,225,4506,0.049933422103861515
PS-062,Android,0.05,42,E2_Integrity_Only,4281,225,4506,0.049933422103861515
PS-063,Android,0.05,42,E3_Anomaly_Only,4281,225,4506,0.049933422103861515
PS-064,Android,0.05,42,E4_PoisonShield,4281,225,4506,0.049933422103861515
PS-065,Android,0.05,123,E1_No_Defense,4281,225,4506,0.049933422103861515
PS-066,Android,0.05,123,E2_Integrity_Only,4281,225,4506,0.049933422103861515
PS-067,Android,0.05,123,E3_Anomaly_Only,4281,225,4506,0.049933422103861515
PS-068,Android,0.05,123,E4_PoisonShield,4281,225,4506,0.049933422103861515
PS-069,Android,0.05,2026,E1_No_Defense,4281,225,4506,0.049933422103861515
PS-070,Android,0.05,2026,E2_Integrity_Only,4281,225,4506,0.049933422103861515
PS-071,Android,0.05,2026,E3_Anomaly_Only,4281,225,4506,0.049933422103861515
PS-072,Android,0.05,2026,E4_PoisonShield,4281,225,4506,0.049933422103861515
PS-073,Android,0.1,42,E1_No_Defense,4281,476,4757,0.10006306495690562
PS-074,Android,0.1,42,E2_Integrity_Only,4281,476,4757,0.10006306495690562
PS-075,Android,0.1,42,E3_Anomaly_Only,4281,476,4757,0.10006306495690562
PS-076,Android,0.1,42,E4_PoisonShield,4281,476,4757,0.10006306495690562
PS-077,Android,0.1,123,E1_No_Defense,4281,476,4757,0.10006306495690562
PS-078,Android,0.1,123,E2_Integrity_Only,4281,476,4757,0.10006306495690562
PS-079,Android,0.1,123,E3_Anomaly_Only,4281,476,4757,0.10006306495690562
PS-080,Android,0.1,123,E4_PoisonShield,4281,476,4757,0.10006306495690562
PS-081,Android,0.1,2026,E1_No_Defense,4281,476,4757,0.10006306495690562
PS-082,Android,0.1,2026,E2_Integrity_Only,4281,476,4757,0.10006306495690562
PS-083,Android,0.1,2026,E3_Anomaly_Only,4281,476,4757,0.10006306495690562
PS-084,Android,0.1,2026,E4_PoisonShield,4281,476,4757,0.10006306495690562
PS-085,Android,0.2,42,E1_No_Defense,4281,1070,5351,0.1999626238086339
PS-086,Android,0.2,42,E2_Integrity_Only,4281,1070,5351,0.1999626238086339
PS-087,Android,0.2,42,E3_Anomaly_Only,4281,1070,5351,0.1999626238086339
PS-088,Android,0.2,42,E4_PoisonShield,4281,1070,5351,0.1999626238086339
PS-089,Android,0.2,123,E1_No_Defense,4281,1070,5351,0.1999626238086339
PS-090,Android,0.2,123,E2_Integrity_Only,4281,1070,5351,0.1999626238086339
PS-091,Android,0.2,123,E3_Anomaly_Only,4281,1070,5351,0.1999626238086339
PS-092,Android,0.2,123,E4_PoisonShield,4281,1070,5351,0.1999626238086339
PS-093,Android,0.2,2026,E1_No_Defense,4281,1070,5351,0.1999626238086339
PS-094,Android,0.2,2026,E2_Integrity_Only,4281,1070,5351,0.1999626238086339
PS-095,Android,0.2,2026,E3_Anomaly_Only,4281,1070,5351,0.1999626238086339
PS-096,Android,0.2,2026,E4_PoisonShield,4281,1070,5351,0.1999626238086339
