poisoning_rate,seed,defense,metric,android_minus_malmem
0.1,123,E3_Anomaly_Only,macro_recall,0.12661091880349606
0.1,123,E4_PoisonShield,macro_recall,0.11685714331206842
0.1,2026,E1_No_Defense,macro_recall,0.1130628039720607
0.1,2026,E2_Integrity_Only,macro_recall,0.116043294847603
0.1,2026,E3_Anomaly_Only,macro_recall,0.1338546412810896
0.1,2026,E4_PoisonShield,macro_recall,0.12663585976702307
0.2,42,E1_No_Defense,macro_recall,0.09642007542148312
0.2,42,E2_Integrity_Only,macro_recall,0.10396317465508587
0.2,42,E3_Anomaly_Only,macro_recall,0.12128837109290125
0.2,42,E4_PoisonShield,macro_recall,0.11083209017814966
0.2,123,E1_No_Defense,macro_recall,0.09999643161966298
0.2,123,E2_Integrity_Only,macro_recall,0.10107475157415846
0.2,123,E3_Anomaly_Only,macro_recall,0.10461788359737689
0.2,123,E4_PoisonShield,macro_recall,0.10935079699971717
0.2,2026,E1_No_Defense,macro_recall,0.09567052953758115
0.2,2026,E2_Integrity_Only,macro_recall,0.10942108828415165
0.2,2026,E3_Anomaly_Only,macro_recall,0.10888305714685809
0.2,2026,E4_PoisonShield,macro_recall,0.11664090824790019
0.01,42,E1_No_Defense,macro_f1,0.12996250156369948
0.01,42,E2_Integrity_Only,macro_f1,0.12580973712651322
0.01,42,E3_Anomaly_Only,macro_f1,0.14224053013207616
0.01,42,E4_PoisonShield,macro_f1,0.13107447598348798
0.01,123,E1_No_Defense,macro_f1,0.1320458913921012
0.01,123,E2_Integrity_Only,macro_f1,0.12207217138787807
0.01,123,E3_Anomaly_Only,macro_f1,0.14460166202430857
0.01,123,E4_PoisonShield,macro_f1,0.13549269991484836
0.01,2026,E1_No_Defense,macro_f1,0.12501660114918833
0.01,2026,E2_Integrity_Only,macro_f1,0.12002293985148793
0.01,2026,E3_Anomaly_Only,macro_f1,0.13836744787634936
0.01,2026,E4_PoisonShield,macro_f1,0.1336827173094739
0.05,42,E1_No_Defense,macro_f1,0.12868646503949088
0.05,42,E2_Integrity_Only,macro_f1,0.12369934526399462
0.05,42,E3_Anomaly_Only,macro_f1,0.1408657019641043
0.05,42,E4_PoisonShield,macro_f1,0.12750878685502132
0.05,123,E1_No_Defense,macro_f1,0.11635945315096163
0.05,123,E2_Integrity_Only,macro_f1,0.12143096076616433
0.05,123,E3_Anomaly_Only,macro_f1,0.1344577992819278
0.05,123,E4_PoisonShield,macro_f1,0.12942624084108378
0.05,2026,E1_No_Defense,macro_f1,0.11864261445226576
0.05,2026,E2_Integrity_Only,macro_f1,0.11844085629760737
0.05,2026,E3_Anomaly_Only,macro_f1,0.13202635118231165
0.05,2026,E4_PoisonShield,macro_f1,0.12987190464114895
0.1,42,E1_No_Defense,macro_f1,0.1179411428360031
0.1,42,E2_Integrity_Only,macro_f1,0.1090698630151975
0.1,42,E3_Anomaly_Only,macro_f1,0.14876465122001736
0.1,42,E4_PoisonShield,macro_f1,0.1195234877992224
0.1,123,E1_No_Defense,macro_f1,0.11104402505224731
0.1,123,E2_Integrity_Only,macro_f1,0.1109195310909864
0.1,123,E3_Anomaly_Only,macro_f1,0.12794715265566747
0.1,123,E4_PoisonShield,macro_f1,0.11809932510539123
0.1,2026,E1_No_Defense,macro_f1,0.11311903071508744
0.1,2026,E2_Integrity_Only,macro_f1,0.11851037168355127
0.1,2026,E3_Anomaly_Only,macro_f1,0.1379307280732791
0.1,2026,E4_PoisonShield,macro_f1,0.12569308134399815
0.2,42,E1_No_Defense,macro_f1,0.09975468396645926
0.2,42,E2_Integrity_Only,macro_f1,0.10578133805206547
0.2,42,E3_Anomaly_Only,macro_f1,0.12181994763000015
0.2,42,E4_PoisonShield,macro_f1,0.11235119607394084
0.2,123,E1_No_Defense,macro_f1,0.10121365802400817
0.2,123,E2_Integrity_Only,macro_f1,0.10305535560129397
0.2,123,E3_Anomaly_Only,macro_f1,0.10624783965515305
0.2,123,E4_PoisonShield,macro_f1,0.10950301910735427
0.2,2026,E1_No_Defense,macro_f1,0.09733239103631985
0.2,2026,E2_Integrity_Only,macro_f1,0.11101512475592668
0.2,2026,E3_Anomaly_Only,macro_f1,0.10812295728595467
0.2,2026,E4_PoisonShield,macro_f1,0.11982391897111322
0.01,42,E1_No_Defense,balanced_accuracy,0.128351365422252
0.01,42,E2_Integrity_Only,balanced_accuracy,0.12339083887676194
0.01,42,E3_Anomaly_Only,balanced_accuracy,0.13980716305817853
0.01,42,E4_PoisonShield,balanced_accuracy,0.1332715494831579
0.01,123,E1_No_Defense,balanced_accuracy,0.13312155771441836
0.01,123,E2_Integrity_Only,balanced_accuracy,0.11994489011581422
0.01,123,E3_Anomaly_Only,balanced_accuracy,0.1432878945754874
0.01,123,E4_PoisonShield,balanced_accuracy,0.13562968227498862
0.01,2026,E1_No_Defense,balanced_accuracy,0.12371372568773797
0.01,2026,E2_Integrity_Only,balanced_accuracy,0.12078439129785268
0.01,2026,E3_Anomaly_Only,balanced_accuracy,0.1367121617356578
